IAUNAME,UID,RA,DEC,RADEC_ERR,EXT,ML_FLUX_1,QUAIA_source_id,QUAIA_redshift,QUAIA_redshift_err,CLUSTER_NAME,SEPARATION,CLUSTER_Z
1eRASS J034542.8-512950,105814100004,56.428536351919384,-51.49737416405309,0.8932768702507019,0.0,1.2494709043450736e-12,4829294973181982976,0.396,0.07660170276641848,1eRASS J034542.1-513042,0.014563502373970234,0.1939
1eRASS J042301.1-513402,106714100002,65.75471549525335,-51.567436526124624,0.6426400542259216,0.0,9.073891811539614e-13,4781123582062860800,0.361,0.08586657863616945,1eRASS J042242.3-512903,0.09637774170831542,0.043
1eRASS J043829.2-614758,107315300001,69.62171465309667,-61.79967048220355,0.3404570519924164,0.0,4.316204078175234e-12,4677239112130585984,1.927,0.7133141228485108,1eRASS J043838.1-615107,0.055282362612759095,0.0659
1eRASS J045957.6-611510,107715000001,74.99019789325905,-61.25294175144008,0.35830843448638916,0.0,2.8914154057146924e-12,4761465310590509056,0.16512604357212446,0.09792351691246033,1eRASS J045949.0-611349,0.028276261080173008,0.093
1eRASS J051621.0-103341,107810200002,79.08789664207139,-10.561521945751187,0.6047040820121765,0.0,3.5063143794672458e-12,2990073016486189056,0.3115370273590088,0.16922684105873104,1eRASS J051626.6-103259,0.025458278986997852,0.1155
1eRASS J053410.0-624315,108515300045,83.54208233514541,-62.72099912126247,0.9098333120346069,0.0,1.547471731918465e-13,4757574242025628928,0.8858487010002136,0.09776403368949887,1eRASS J053425.9-623758,0.09308826458834839,0.0755
1eRASS J060241.8-595152,108915000003,90.67454848061813,-59.86446695258894,0.7766640782356262,0.0,5.784297736968758e-13,5494423607324927872,0.1011425331234932,0.05274107449054718,1eRASS J060232.1-595106,0.02398260881687685,0.0947
1eRASS J062307.4-643619,109315600002,95.78120338450204,-64.6054644793165,0.8028334975242615,0.0,3.175580891995322e-12,5476948725428677376,0.16680968912865757,0.14097615360975266,1eRASS J062238.2-643200,0.0889746292682517,0.0432
1eRASS J061932.6-645955,109315600021,94.88604025045882,-64.99873358307481,0.4525556266307831,0.0,5.107923632674538e-13,5476563621482905728,0.2746197272451192,0.06549130022525787,1eRASS J062154.5-645717,0.25391172338948664,0.0258
1eRASS J092853.3-062856,114309600002,142.22233507521702,-6.482332427417029,2.2609829902648926,0.0,7.988190729550648e-13,5745387544385490176,0.25186827778816223,0.14399965639114382,1eRASS J092857.1-062809,0.020537949640221403,0.2587
1eRASS J125006.5-404732,119213200003,192.52731434114824,-40.79230461712608,1.1370759010314941,0.0,1.0883339585446294e-12,6140065906126341120,0.08380328118801117,0.07172917422294615,1eRASS J124849.7-411839,0.5721890668864018,0.011
1eRASS J161151.7-603754,124315000003,242.9657379597745,-60.6319049331829,0.6513496041297913,0.0,3.1936584453384764e-12,5829905839326527872,0.21119025349617004,0.14642351008415222,1eRASS J161416.6-605139,0.37346145510126,0.0157
1eRASS J013558.5-204407,102411100016,23.993876333466595,-20.735401176064762,2.687037706375122,0.0,1.754448366100836e-13,5138982658050668800,0.4196025330087029,0.05243615375518801,1eRASS J013555.8-204453,0.01646456651549503,0.38
1eRASS J013537.6-200846,102411100058,23.90681301176895,-20.146199084063465,3.0135786533355713,0.0,1.1737019776220103e-13,5139767812432243712,1.132622241973877,0.10316308021545417,1eRASS J013540.4-200957,0.022769320892529428,0.308
1eRASS J022938.9-131554,103810200527,37.41235822223149,-13.265147988077434,5.578494548797607,0.0,3.0111923019068496e-14,5147249920339756672,1.2245461970787004,0.18740103756904603,1eRASS J022953.3-131600,0.058225383506786375,0.0562
1eRASS J032735.7+022718,105308700174,51.89892498198812,2.4550052490125513,4.234006404876709,0.0,3.382978101752927e-14,3268257184957387008,1.4206087589263916,0.07208709478378295,1eRASS J032753.6+023417,0.13835448032059572,0.03
1eRASS J070657.8+364219,110705400364,106.7409519288619,36.70530887409284,6.650712966918945,0.0,6.399741169947279e-14,945879926045096320,0.409124493598938,0.17051634967327117,1eRASS J070708.9+364412,0.04866293633805471,0.0954
1eRASS J150009.6+015741,122708700234,225.04022236814188,1.9615634379177067,4.4156880378723145,0.0,6.248290323725494e-14,1153453049759999232,1.240044839934829,0.06684861473083492,1eRASS J150111.6+014205,0.36640008298453575,0.005
1eRASS J150125.6+012928,122709000136,225.3568103362232,1.4912978987286447,3.574679374694824,0.0,6.289433085665888e-14,1153191232848884608,1.0108755826950073,0.08269195762634274,1eRASS J150111.6+014205,0.21820815253057047,0.005
1eRASS J234931.6-363458,135812600026,357.38179902077394,-36.58289509104878,2.9871714115142822,0.0,2.147584004076955e-13,2310821636519890432,0.5941154360771179,0.12225273481365201,1eRASS J234950.8-363449,0.06432233043857426,0.0456
1eRASS J000943.6-352207,100212600018,2.4318645780106425,-35.36878814625549,3.867908477783203,0.0,2.9211187505331915e-13,2309431613304009344,0.20122893800596112,0.06399550431489943,1eRASS J000946.6-351632,0.09357557441985292,0.05
1eRASS J000457.4-534454,100214400024,1.2393961374561209,-53.7484125129321,2.4439785480499268,0.0,2.7277889690958956e-13,4972012918201151616,0.2491796612739563,0.07785239010810853,1eRASS J000540.6-534850,0.1250043767006817,0.0368
1eRASS J001435.7-660309,100315600138,3.6488743221196596,-66.05254611852247,6.083410263061523,0.0,5.970100309298301e-14,4707824635100866432,1.5410109758377075,0.10414000000000001,1eRASS J001416.4-660420,0.03824695771275226,0.16
1eRASS J001344.5-695319,100415900049,3.435549460379614,-69.88874058459491,4.120559215545654,0.0,6.55708533260288e-14,4703043477507660032,1.8252562284469604,0.1028086564445495,1eRASS J001351.1-695439,0.024239328168502456,0.381
1eRASS J001842.5-415605,100613200120,4.677257090020722,-41.93481424060797,6.468167781829834,0.0,8.179549160387822e-14,4995275457508534784,1.4275801181793213,0.08490370095825206,1eRASS J001838.2-415336,0.04352503956488637,0.093
1eRASS J002254.8-515436,100714100019,5.728412905203501,-51.910093155867735,2.643022298812866,0.0,3.029117484187188e-13,4924646678830955520,0.9157984852790833,0.08166663993835449,1eRASS J002256.7-515631,0.03227420316107822,0.2107
1eRASS J004620.1-544453,101214400164,11.583864635071178,-54.74823744206318,4.433387756347656,0.0,7.007658071444406e-14,4921046774682324352,0.5747542633145439,0.11842644441127775,1eRASS J004643.1-544434,0.05561690209973368,0.0907
1eRASS J005221.9-685612,101215900020,13.09125175491105,-68.9369343782466,3.8939006328582764,0.0,9.077208928086333e-14,4704035580592842880,0.7266297936439514,0.07649392829895024,1eRASS J005233.3-685527,0.02139330646756378,0.2455
1eRASS J005722.8-665257,101715600063,14.345153921328137,-66.88277203371305,2.695218801498413,0.0,1.3454776843450228e-13,4705298507135795968,0.5491974949836731,0.07618305384540555,1eRASS J005803.2-664817,0.10226332711356809,0.0655
1eRASS J012329.0-353505,102012600071,20.87097926153055,-35.584873227205414,4.150179862976074,0.0,5.3459068226867357e-14,5013402899557064960,0.4138509929180145,0.05241370379924776,1eRASS J012335.2-353449,0.021422233588826847,0.2374
1eRASS J011143.0-612645,102015000145,17.929348871362286,-61.44592360604348,10.063005447387695,0.0,5.528460718731698e-14,4710474462418658944,0.7076522707939148,0.07523999999999997,1eRASS J011220.1-613439,0.1509410889674457,0.0267
1eRASS J012601.3-375902,102112900007,21.50542147644335,-37.98389802311908,4.009055137634277,0.0,8.586088383246565e-14,5009599551398255744,0.8443965863873446,0.07567021617889402,1eRASS J012604.4-375757,0.02062822248013573,0.0806
1eRASS J012318.3-394339,102112900041,20.826335263840562,-39.72770330693235,2.370784282684326,0.0,1.4626718076744122e-13,5009201253310427648,0.7041488885879517,0.03653732069969173,1eRASS J012314.6-394214,0.026473701684194786,0.2555
1eRASS J012957.8-580934,102414700240,22.491100098282956,-58.159629659249944,4.719369888305664,0.0,6.659354057775291e-14,4909542240923371136,1.7923694849014282,0.055725732746124246,1eRASS J012950.8-581243,0.054660279395927595,0.1018
1eRASS J012704.6-655254,102415600100,21.76931336480751,-65.88169971408125,3.7853171825408936,0.0,5.923779126731574e-14,4704848978679547904,1.488354206085205,0.1392219690704345,1eRASS J012714.5-655248,0.01703511330134184,0.2087
1eRASS J012454.8-810104,102517100011,21.228683378134935,-81.01801154857995,1.7816013097763062,0.0,3.0693533110102977e-13,4630613045948623616,0.38014605726197176,0.11040700882434845,1eRASS J012456.9-810459,0.065159432466953,0.0876
1eRASS J015005.9-341341,102612300057,27.524889325146106,-34.22822767133813,2.9286179542541504,0.0,1.0781908813027943e-13,5017349527825880064,0.3607681393623352,0.09086015641689299,1eRASS J015003.4-341240,0.01889436432591076,0.3576
1eRASS J014513.6-425424,102613200012,26.306928041613165,-42.90686625260601,2.8849997520446777,0.0,1.0342370541796889e-13,4959053799277806464,1.5125110149383545,0.13146000000000002,1eRASS J014515.5-425335,0.014811207941465279,0.439
1eRASS J021459.6-463849,103313800024,33.74841149336351,-46.647186657271845,2.8537776470184326,0.0,1.8138207678441293e-13,4942884793596680832,0.46862390637397766,0.0696031922674179,1eRASS J021452.1-463913,0.022392720414906704,0.3134
1eRASS J022647.7-184339,103610800198,36.699056256023546,-18.72767431491519,4.261609077453613,0.0,5.5287656505927096e-14,5131349813971391872,1.7058756351470947,0.1159093101501465,1eRASS J022649.1-184239,0.017627505256401676,0.2912
1eRASS J023011.2-385149,103612900062,37.54696536394048,-38.86375620314133,3.541391134262085,0.0,8.671818959530425e-14,4953155675309064960,1.2287390232086182,0.06751218938827519,1eRASS J023006.0-385303,0.02663246558905814,0.1901
1eRASS J023010.7-141748,103810500065,37.54469911739319,-14.296729798518534,2.7968251705169678,0.0,1.4456018576202573e-13,5146274760900681344,1.8980954885482788,0.4301327623748781,1eRASS J023027.9-141831,0.07056602419214664,0.0553
1eRASS J024328.5-265600,104211700287,40.86910729699074,-26.93334590077595,5.206334114074707,0.0,3.527063488278567e-14,5069801386431187328,3.1220040321350098,0.0956999999999999,1eRASS J024316.5-265422,0.052174050811354414,0.1045
1eRASS J025357.6-524617,104214400047,43.490325746325176,-52.771517408986256,2.303354024887085,0.0,1.9837899226972378e-13,4747167188367506560,1.2826241254806519,0.16702477931976312,1eRASS J025349.0-524830,0.043006749747826326,0.0568
1eRASS J025033.2-310512,104312000353,42.638519354177475,-31.086860798506954,4.692626476287842,0.0,5.2390434519952386e-14,5064566267974483200,1.1151539087295532,0.07166079044342033,1eRASS J024933.9-311126,0.2353973467491415,0.0228
1eRASS J025241.8-145821,104510500020,43.17424068498877,-14.972751943133273,2.196686029434204,0.0,2.571875546732161e-13,5157285918881129216,0.3513055741786957,0.09477232627201079,1eRASS J025241.8-145942,0.02246132384800282,0.2626
1eRASS J031048.0-472225,104613800036,47.70018870135904,-47.37383960591285,2.0854713916778564,0.0,1.7951799443673144e-13,4750825435351697280,1.0467947721481323,0.08993244453430183,1eRASS J031055.4-472331,0.02763425466986224,0.0827
1eRASS J030656.7-473638,104613800045,46.7365873500886,-47.61067208608057,2.736994743347168,0.0,1.4455743459901305e-13,4750610927504680576,0.4435904026031494,0.0668213612556458,1eRASS J030658.7-473849,0.0368741966067082,0.218
1eRASS J030349.8-120626,104710200038,45.95758668863249,-12.107321981627468,2.4893596172332764,0.0,1.7105808685757146e-13,5159771296195868160,0.5332052707672119,0.08518000000000003,1eRASS J030406.0-120602,0.06643411940191067,0.09
1eRASS J030358.7-115235,104710200943,45.99472671219067,-11.876390992722273,6.206822872161865,0.0,2.4359408872074058e-14,5159784627774574336,1.9608298540115356,0.14843445716857928,1eRASS J030354.8-115916,0.11279291443004087,0.0204
1eRASS J031139.3-580321,105014700062,47.91401924348511,-58.05599228928629,2.4801716804504395,0.0,1.0941778489119078e-13,4727142195407130624,0.23513451218605042,0.07616484396219254,1eRASS J031141.6-580206,0.021355255010534868,0.2378
1eRASS J031646.9-580503,105014700099,49.19561116547654,-58.084291798943156,4.303515434265137,0.0,6.931718518404448e-14,4724241275712805376,1.232852816581726,0.08061577104644779,1eRASS J031657.9-580514,0.024412262537351986,0.39
1eRASS J032639.5-184104,105210800036,51.66497252823513,-18.68465229862978,3.2612555027008057,0.0,1.3092093598468524e-13,5101976566993573120,0.8073945641517639,0.07365403294563294,1eRASS J032644.6-184009,0.0252438765962379,0.1293
1eRASS J032912.9-460454,105213500442,52.303880484921386,-46.08175758044138,3.5643653869628906,0.0,3.659021395878599e-14,4846507411102018176,1.4948192834854126,0.053177137374877836,1eRASS J032946.5-460305,0.10192527621335754,0.0688
1eRASS J032222.9-530940,105214400219,50.595511860799355,-53.16111664989628,5.017826080322266,0.0,4.195026216593373e-14,4734388148833708032,0.9220756137883686,0.07715522623062132,1eRASS J032213.0-531100,0.03311487420770139,0.079
1eRASS J032845.6-522726,105314100122,52.19040206824073,-52.457298840794266,3.436509370803833,0.0,6.631467700272606e-14,4735971514296638976,1.8147730827331543,0.15679690879821773,1eRASS J032849.1-522658,0.01154360041622841,0.0606
1eRASS J034833.6-452836,105613500109,57.140184387337335,-45.47679426382288,2.834103584289551,0.0,8.01383902271878e-14,4835149490347074944,0.5803059339523315,0.07051708740234375,1eRASS J034820.9-453244,0.07818700537443125,0.0705
1eRASS J033434.0-825254,105617400020,53.641701943402396,-82.88193425271012,2.1769890785217285,0.0,1.6582068563305435e-13,4615622789747635200,0.4658447343003437,0.07801178444385529,1eRASS J033503.2-825128,0.028408329697741732,0.2993
1eRASS J035510.0-391026,105912900033,58.79176176466608,-39.17415446332026,2.076235294342041,0.0,2.319709366000594e-13,4843581786755148672,0.7669349312782288,0.5013442741394043,1eRASS J035458.8-391315,0.05910641438971818,0.0927
1eRASS J034812.0-385842,105912900105,57.050373469774634,-38.978338889952255,3.0479400157928467,0.0,9.087724333906727e-14,4855741659507436032,1.9705095291137695,0.10833633583068847,1eRASS J034809.2-385921,0.014328955694262166,0.5268
1eRASS J035844.5-364849,106012600047,59.685687280570995,-36.81375844503282,1.7799944877624512,0.0,1.6470688474126e-13,4857398730906177792,0.3903,0.06741882145404818,1eRASS J035840.3-364759,0.019820859067664225,0.3021
1eRASS J040115.4-371057,106012600052,60.31425324408387,-37.18258924229265,1.9413328170776367,0.0,1.4851718487841892e-13,4857320493782010240,0.21610914170742035,0.05800547122955321,1eRASS J040129.2-370623,0.08899265292399967,0.0582
1eRASS J035816.6-593139,106015000030,59.569488349891365,-59.52755801940669,1.6219513416290283,0.0,1.4805260424750888e-13,4680326708283468288,0.652,0.42851657509803776,1eRASS J035827.7-593152,0.023579617115075915,0.0625
1eRASS J040753.7-600148,106015000674,61.9738961564725,-60.03013080048816,4.3407087326049805,0.0,2.657854371432202e-14,4680061829060812416,0.8874589204788208,0.10648517547607422,1eRASS J040750.6-600404,0.038337206312119815,0.1556
1eRASS J034900.1-642618,106015300589,57.2505174672971,-64.43860010508489,4.665518283843994,0.0,3.0461114045639975e-14,4673119551297250816,2.9094185829162598,0.09006000000000003,1eRASS J034844.2-642744,0.03705089742933367,0.1058
1eRASS J040440.5-412944,106113200122,61.16891962914988,-41.49582389029337,4.480560302734375,0.0,4.9601016111240626e-14,4842187086319282560,2.6153929233551025,0.10651999999999995,1eRASS J040445.6-412851,0.021674254103125346,0.1924
1eRASS J040751.1-210219,106211100582,61.96297151473179,-21.038886023657554,4.828487873077393,0.0,3.147726220301128e-14,5090876928392145792,2.543224325703138,0.6044160072898865,1eRASS J040819.3-210309,0.11065349410992253,0.014
1eRASS J041603.1-552141,106214400241,64.01306275114787,-55.36141061241798,2.306769371032715,0.0,4.654531087270285e-14,4778767530506692736,2.511542797088623,0.11677999999999988,1eRASS J041610.5-554650,0.4196675664953546,0.004
1eRASS J040756.5-305046,106312000017,61.98543928496586,-30.846223909393796,2.5495808124542236,0.0,1.3702522460874028e-13,4884042573410700544,1.41118323802948,0.10097574123382569,1eRASS J040755.9-304932,0.0206028928000882,0.0607
1eRASS J041003.6-300728,106312000035,62.51527443987689,-30.12461988274252,2.834993362426758,0.0,1.150595867497814e-13,4885593846878553984,1.1685059070587158,0.07540408531951903,1eRASS J041008.8-300814,0.022710338396688814,0.4086
1eRASS J041928.1+023533,106508700026,64.86710251422646,2.5925830126923204,2.592362642288208,0.0,2.6794763781888553e-13,3283133371123145344,0.16322636192818704,0.08421370199155806,1eRASS J041938.2+022426,0.18982001298859458,0.0133
1eRASS J041921.3+020959,106508700032,64.83915335641746,2.1666071667792948,2.7383575439453125,0.0,1.7959956709768382e-13,3256084083705888768,1.1848814487457275,0.11882000000000004,1eRASS J041938.2+022426,0.2508297674042214,0.0133
1eRASS J041929.7-275501,106511700440,64.8739378331346,-27.91722037341002,5.374195098876953,0.0,4.160193172483666e-14,4886324442290344960,0.8904826641082764,0.08020385715484624,1eRASS J041947.1-275258,0.07273995827289856,0.0747
1eRASS J042100.5-335130,106512300051,65.25235114337943,-33.85842715619622,2.0794873237609863,0.0,1.188503370155511e-13,4870347640690909568,1.2854703664779663,0.09569109191894531,1eRASS J042057.2-335027,0.020859648546623547,0.1704
1eRASS J043210.3-594351,106615000646,68.04294770312539,-59.73093911230327,3.012627363204956,0.0,2.806785294635905e-14,4677973169284320768,1.178213357925415,0.07767169567871096,1eRASS J043219.3-594243,0.02681813839414419,0.1375
1eRASS J043753.6-615134,106615300051,69.47340758914993,-61.85966716214296,1.3777055740356445,0.0,1.5112196704528819e-13,4677215949371210368,0.5035769783229975,0.08635514126586916,1eRASS J043838.1-615107,0.08778155782262963,0.0659
1eRASS J042502.5-642516,106615300125,66.26065419429692,-64.4213334316599,1.9451558589935303,0.0,5.877729672334325e-14,4675198448612823424,0.735,0.1672013857650757,1eRASS J042450.6-642414,0.02747950498565799,0.2266
1eRASS J042549.4-624347,106615300467,66.45606739965993,-62.72978057286208,2.802483320236206,0.0,4.0135880323465337e-14,4675805555127584384,0.6058563590049744,0.0993743556785584,1eRASS J042712.5-624732,0.1702894586506817,0.0185
1eRASS J042810.4-623519,106615300473,67.04341688495242,-62.588616512668736,2.98827862739563,0.0,4.3325758968979985e-14,4675782461086346624,1.5756984949111938,0.0807759499549866,1eRASS J042712.5-624732,0.23179245010299468,0.0185
1eRASS J042925.9-665631,106615600040,67.35814496254136,-66.94206591708834,1.7954397201538086,0.0,1.5468521103768895e-13,4656685185360389248,0.43132227659225464,0.0781645586156845,1eRASS J042939.1-665529,0.027545779769340296,0.0618
1eRASS J042348.0-645550,106615600587,65.95033266622097,-64.93058494923544,4.178495407104492,0.0,2.4571976872385208e-14,4675065407705576448,1.039703130722046,0.047399689769744846,1eRASS J042315.1-645804,0.06907574846714133,0.0618
1eRASS J043215.9-483310,106713800036,68.06639079316665,-48.552785701132066,1.8704874515533447,0.0,1.2752732897469699e-13,4787865817428220416,2.065,0.45624896291732775,1eRASS J043212.2-483331,0.011915987546035784,0.1494
1eRASS J043201.2-483553,106713800159,68.00507102807333,-48.598081817681354,2.542658567428589,0.0,5.892693695193699e-14,4787863962002325760,1.3401826620101929,0.14817563869476313,1eRASS J043212.2-483331,0.049582533290748555,0.1494
1eRASS J042234.5-512234,106714100083,65.64386049884104,-51.376371154312466,1.8669660091400146,0.0,9.622665620052928e-14,4781882240789781888,1.885,0.4300670265960693,1eRASS J042242.3-512903,0.10974244323217296,0.043
1eRASS J043220.0-522030,106714100120,68.08348134944752,-52.341680806169805,2.2680389881134033,0.0,7.245630961535965e-14,4781161476560728576,0.4169850351470115,0.06993017780780789,1eRASS J043207.4-521921,0.03739933608821215,0.1007
1eRASS J042904.1-551145,106714400194,67.26743991623691,-55.195957313776475,2.624878168106079,0.0,6.34995596143946e-14,4776015933938562560,0.416395902633667,0.06800483381271363,1eRASS J042852.9-551024,0.03500421782327241,0.2191
1eRASS J043228.4+012015,106809000065,68.11839501994338,1.33765100607697,5.2492499351501465,0.0,4.449503374255592e-14,3278871737069116288,1.29457688331604,0.08512513736724847,1eRASS J043228.6+011851,0.023476614423953705,0.3391
1eRASS J043230.3-454608,106813500073,68.12664644384535,-45.76898869805464,1.8845479488372803,0.0,8.80836338113325e-14,4790760419227273984,0.954,0.09376421576499933,1eRASS J043239.5-454613,0.02655190439557081,0.239
1eRASS J042849.3-732910,106816200079,67.20545405608618,-73.4861831227782,3.3843140602111816,0.0,6.646344309331823e-14,4652619912915423488,0.40177929401397705,0.0566948829126358,1eRASS J042925.4-733514,0.10989916375380022,0.0282
1eRASS J042538.0-733903,106916500054,66.4086433182326,-73.65102651745173,2.0834898948669434,0.0,1.1057294809586546e-13,4652600564085161088,0.32204083046783366,0.06609732830524445,1eRASS J042559.0-733406,0.08606711494092117,0.0488
1eRASS J043658.2-181810,107010800064,69.24261953903498,-18.303047877372364,3.1390881538391113,0.0,1.450037464233167e-13,2978927125379731968,0.24389108296720768,0.09696376422023772,1eRASS J043650.2-181743,0.03249136840592804,0.2237
1eRASS J044306.0+020906,107108700018,70.77502775770988,2.151823112584551,3.4626290798187256,0.0,1.773036063671199e-13,3232765675464093568,0.47355520725250244,0.07760412123680113,1eRASS J044309.7+021017,0.02502798228800892,0.2002
1eRASS J043610.5-045805,107109600082,69.04411898691322,-4.968183637683168,3.330061674118042,0.0,9.346511195204577e-14,3201056374298289920,0.5160715579986572,0.1030226554822922,1eRASS J043625.4-045926,0.06573903806917156,0.015
1eRASS J045022.9-094035,107109900128,72.59563613612245,-9.676618457009114,3.990386724472046,0.0,7.469383862509019e-14,3184801920243272704,1.6114081144332886,0.07700290203094484,1eRASS J045022.9-094336,0.05024881583040631,0.1481
1eRASS J045020.3-365230,107112600233,72.58496068178607,-36.875195094674936,4.530059814453125,0.0,3.940907184461252e-14,4818685815549728640,1.12168550491333,0.08081481218338016,1eRASS J045012.1-365124,0.03312765404592916,0.2281
1eRASS J044202.6-365427,107112600980,70.51095360044762,-36.90771246969139,7.526596546173096,0.0,2.7985894038382725e-14,4866571230566585984,0.6863099932670593,0.07848736381530763,1eRASS J044141.6-365557,0.07420992384805081,0.0438
1eRASS J045247.2-581825,107114700137,73.19681949872033,-58.307180213877565,2.055009365081787,0.0,6.305093708421083e-14,4762413463275088256,1.792893648147583,0.09115891786575314,1eRASS J045225.3-581614,0.060158870975157715,0.0903
1eRASS J043917.4-611505,107115000089,69.82273513316365,-61.25163783438785,2.953788995742798,0.0,5.254441494536785e-14,4677630052937509120,0.9593288898468018,0.0737436414813995,1eRASS J043910.8-611416,0.01908221299864097,0.1492
1eRASS J044457.3-154855,107210500117,71.2391307451362,-15.815550713226116,4.578472137451172,0.0,6.95868330406052e-14,3172980001284915968,1.082,0.12045007686614984,1eRASS J044511.2-155247,0.08501954386956624,0.037
1eRASS J044737.8-445348,107213500022,71.90755212158955,-44.89693723947563,1.5354670286178589,0.0,3.442244861547039e-13,4814349307329142400,0.2755,0.05660799525260925,1eRASS J044723.6-445214,0.04940584338839775,0.153
1eRASS J043827.9-490636,107213800013,69.61651906014123,-49.110275009688095,0.8695621490478516,0.0,4.3088509106212203e-13,4787920896088197760,0.3651093214054053,0.07745857196235653,1eRASS J043839.3-490630,0.03120225573939262,0.2267
1eRASS J045252.4-505448,107214100050,73.21843789288951,-50.913549964493555,1.605050802230835,0.0,1.694349006800891e-13,4783792779682345472,0.5067792492924259,0.05754733241558077,1eRASS J045252.0-505324,0.023333075246361367,0.4178
1eRASS J043721.4-511913,107214100136,69.33947001291361,-51.3203877465302,2.2371890544891357,0.0,7.930192147485166e-14,4778318002050483968,1.226783275604248,0.08360519529342647,1eRASS J043747.7-512525,0.12383152646524125,0.0363
1eRASS J043904.6-541300,107214400375,69.76955183042895,-54.21682701509592,2.668783664703369,0.0,3.2173323385878763e-14,4777432482872351616,0.8720324039459229,0.07863224298477167,1eRASS J043911.8-541129,0.03072804898901633,0.2001
1eRASS J050232.5-623156,107315300103,75.6355430020793,-62.532283186399766,1.8813576698303223,0.0,7.281509921928941e-14,4664564869797548288,0.6276606321334839,0.07158981702804568,1eRASS J050221.8-623237,0.023560915317950723,0.1583
1eRASS J044957.2-652021,107315600071,72.48862109788122,-65.33917956764313,1.469186544418335,0.0,8.536251675135553e-14,4663031600843692544,0.28227680536921695,0.08725325734853744,1eRASS J044942.5-651952,0.026707881382186667,0.2654
1eRASS J045219.4+040630,107408700052,73.08112814375865,4.108345827593894,3.3295741081237793,0.0,1.4876042563581604e-13,3233478292141707008,0.7295504808425903,0.13120631012916567,1eRASS J045222.2+040823,0.03350784448157958,0.1087
1eRASS J045032.7-091429,107409900008,72.63663099976205,-9.241535577251799,1.6390941143035889,0.0,5.323047233031508e-13,3184870124323876864,0.22612115740776062,0.06197902928352357,1eRASS J045034.0-091301,0.02507130723274336,0.2293
1eRASS J050030.6-211135,107511100043,75.12761942793853,-21.193076947846578,2.5508177280426025,0.0,2.0119198191129173e-13,2974915351046855552,0.31022509932518005,0.07957165328979492,1eRASS J050026.3-211403,0.044441475739496056,0.0434
1eRASS J050358.1-263826,107511700896,75.9924409722587,-26.64067649835011,5.263601779937744,0.0,3.0472796324048507e-14,2958923267955894784,1.5029433965682983,0.0702211546325684,1eRASS J050405.2-263620,0.04357118582110635,0.1519
1eRASS J051156.7-190251,107710800013,77.98626953956483,-19.047736729745797,1.8366115093231201,0.0,3.0186644199917123e-13,2975467722499675776,0.15980217445828168,0.05182678014039992,1eRASS J051144.5-190748,0.09531720044983565,0.0548
1eRASS J045643.3-562318,107714700126,74.18042719818983,-56.388504475748256,3.0414962768554688,0.0,4.1567840342775567e-14,4764207728812363648,1.3184824021922665,0.3185445817375183,1eRASS J045639.8-562316,0.008002799623144688,0.6677
1eRASS J050940.6-604238,107715000148,77.41946739662964,-60.710605240831924,1.681668758392334,0.0,7.027876409082187e-14,4761220561877678720,1.0377237796783447,0.08252577988624571,1eRASS J050947.6-604329,0.020192797628409677,0.26
1eRASS J051606.9-152811,107810500081,79.02892463482817,-15.469789944582907,5.118975639343262,0.0,3.776778287898144e-14,2983317372230237568,1.7315315008163452,0.07472063541412355,1eRASS J051606.8-152715,0.015390141217224308,0.5079
1eRASS J051321.1-212821,107811100015,78.3380211541131,-21.472708398119334,2.215973377227783,0.0,2.670529270810962e-13,2962883949359025536,0.3550473749637604,0.09813560426235199,1eRASS J051326.6-212816,0.021458426900066375,0.3587
1eRASS J051949.2-245148,107911400059,79.95536460019989,-24.86344412907587,2.732034206390381,0.0,1.1894539444102376e-13,2957870141975673728,1.5047107934951782,0.08060129329681398,1eRASS J051946.8-250135,0.16323788491736835,0.0353
1eRASS J051953.0-250256,107911400310,79.9708625108175,-25.04904102441899,5.005194187164307,0.0,6.061513460218701e-14,2957862681614466176,2.7312798500061035,0.12087438064575196,1eRASS J051946.8-250135,0.03247634989795734,0.0353
