IAUNAME,UID,RA,DEC,RADEC_ERR,EXT,ML_FLUX_1,QUAIA_source_id,QUAIA_redshift,QUAIA_redshift_err,CLUSTER_NAME,SEPARATION,CLUSTER_Z,CLUSTER_FLUX,CLUSTER_R500,SEPARATION_R
1eRASS J034542.8-512950,105814100004,56.428536351919384,-51.49737416405309,0.8932768702507019,0.0,1.2494709043450736e-12,4829294973181982976,0.396,0.07660170276641848,1eRASS J034542.1-513042,0.014563502373970234,0.1939,2.4678e-13,891.0,174.39308805364402
1eRASS J043829.2-614758,107315300001,69.62171465309667,-61.79967048220355,0.3404570519924164,0.0,4.316204078175234e-12,4677239112130585984,1.927,0.7133141228485108,1eRASS J043838.1-615107,0.055282362612759095,0.0659,2.3504000000000003e-13,598.0,260.20071499975273
1eRASS J045957.6-611510,107715000001,74.99019789325905,-61.25294175144008,0.35830843448638916,0.0,2.8914154057146924e-12,4761465310590509056,0.16512604357212446,0.09792351691246033,1eRASS J045949.0-611349,0.028276261080173008,0.093,5.5426e-13,798.0,181.95463926000983
1eRASS J051621.0-103341,107810200002,79.08789664207139,-10.561521945751187,0.6047040820121765,0.0,3.5063143794672458e-12,2990073016486189056,0.3115370273590088,0.16922684105873104,1eRASS J051626.6-103259,0.025458278986997852,0.1155,7.309000000000001e-14,597.0,198.24560383386685
1eRASS J060241.8-595152,108915000003,90.67454848061813,-59.86446695258894,0.7766640782356262,0.0,5.784297736968758e-13,5494423607324927872,0.1011425331234932,0.05274107449054718,1eRASS J060232.1-595106,0.02398260881687685,0.0947,3.1304e-13,719.0,156.83681151563093
1eRASS J062307.4-643619,109315600002,95.78120338450204,-64.6054644793165,0.8028334975242615,0.0,3.175580891995322e-12,5476948725428677376,0.16680968912865757,0.14097615360975266,1eRASS J062238.2-643200,0.0889746292682517,0.0432,1.6035e-13,473.0,282.04050370109724
1eRASS J234931.6-363458,135812600026,357.38179902077394,-36.58289509104878,2.9871714115142822,0.0,2.147584004076955e-13,2310821636519890432,0.5941154360771179,0.12225273481365201,1eRASS J234950.8-363449,0.06432233043857426,0.0456,6.855000000000001e-14,322.0,214.605253835957
1eRASS J023010.7-141748,103810500065,37.54469911739319,-14.296729798518534,2.7968251705169678,0.0,1.4456018576202573e-13,5146274760900681344,1.8980954885482788,0.4301327623748781,1eRASS J023027.9-141831,0.07056602419214664,0.0553,4.1423e-13,598.0,282.2351220697467
1eRASS J025357.6-524617,104214400047,43.490325746325176,-52.771517408986256,2.303354024887085,0.0,1.9837899226972378e-13,4747167188367506560,1.2826241254806519,0.16702477931976312,1eRASS J025349.0-524830,0.043006749747826326,0.0568,5.2140000000000006e-14,328.0,176.36045795229754
1eRASS J031048.0-472225,104613800036,47.70018870135904,-47.37383960591285,2.0854713916778564,0.0,1.7951799443673144e-13,4750825435351697280,1.0467947721481323,0.08993244453430183,1eRASS J031055.4-472331,0.02763425466986224,0.0827,4.1206e-13,781.0,160.03712826506185
1eRASS J031139.3-580321,105014700062,47.91401924348511,-58.05599228928629,2.4801716804504395,0.0,1.0941778489119078e-13,4727142195407130624,0.23513451218605042,0.07616484396219254,1eRASS J031141.6-580206,0.021355255010534868,0.2378,6.110999999999999e-14,622.0,299.0794319360542
1eRASS J032639.5-184104,105210800036,51.66497252823513,-18.68465229862978,3.2612555027008057,0.0,1.3092093598468524e-13,5101976566993573120,0.8073945641517639,0.07365403294563294,1eRASS J032644.6-184009,0.0252438765962379,0.1293,1.1672e-13,612.0,216.6270830471134
1eRASS J040903.5-604802,106015000003,62.26488700080568,-60.80071052438288,0.7616313099861145,0.0,6.844166617996084e-13,4679957822132274944,0.3010874092578888,0.09188348293304444,1eRASS J040828.2-604926,0.07558363822550052,0.0533,7.847e-14,366.0,292.06429332886484
1eRASS J035816.6-593139,106015000030,59.569488349891365,-59.52755801940669,1.6219513416290283,0.0,1.4805260424750888e-13,4680326708283468288,0.652,0.42851657509803776,1eRASS J035827.7-593152,0.023579617115075915,0.0625,3.429e-14,318.0,105.68139787086025
1eRASS J040756.5-305046,106312000017,61.98543928496586,-30.846223909393796,2.5495808124542236,0.0,1.3702522460874028e-13,4884042573410700544,1.41118323802948,0.10097574123382569,1eRASS J040755.9-304932,0.0206028928000882,0.0607,3.5345999999999994e-13,606.0,89.87195666633374
1eRASS J042100.5-335130,106512300051,65.25235114337943,-33.85842715619622,2.0794873237609863,0.0,1.188503370155511e-13,4870347640690909568,1.2854703664779663,0.09569109191894531,1eRASS J042057.2-335027,0.020859648546623547,0.1704,7.676e-14,586.0,225.27087813773014
1eRASS J042925.9-665631,106615600040,67.35814496254136,-66.94206591708834,1.7954397201538086,0.0,1.5468521103768895e-13,4656685185360389248,0.43132227659225464,0.0781645586156845,1eRASS J042939.1-665529,0.027545779769340296,0.0618,4.4805999999999996e-13,733.0,122.17578189448902
1eRASS J043215.9-483310,106713800036,68.06639079316665,-48.552785701132066,1.8704874515533447,0.0,1.2752732897469699e-13,4787865817428220416,2.065,0.45624896291732775,1eRASS J043212.2-483331,0.011915987546035784,0.1494,1.7806e-13,735.0,115.50043268813165
1eRASS J045219.4+040630,107408700052,73.08112814375865,4.108345827593894,3.3295741081237793,0.0,1.4876042563581604e-13,3233478292141707008,0.7295504808425903,0.13120631012916567,1eRASS J045222.2+040823,0.03350784448157958,0.1087,1.118e-13,531.0,247.48967501967084
1eRASS J050030.6-211135,107511100043,75.12761942793853,-21.193076947846578,2.5508177280426025,0.0,2.0119198191129173e-13,2974915351046855552,0.31022509932518005,0.07957165328979492,1eRASS J050026.3-211403,0.044441475739496056,0.0434,2.8789e-13,497.0,141.49323956021644
1eRASS J053906.7-291332,108412000061,84.7782815361714,-29.225814979811364,2.3318793773651123,0.0,1.954274009329307e-13,2907135888033898368,0.8302860856056213,0.0598673618602753,1eRASS J053913.8-291312,0.02639309908005501,0.1553,1.2429999999999999e-13,711.0,264.1762974503262
1eRASS J053936.6-404708,108513200015,84.90263042740496,-40.78557660728336,1.1809462308883667,0.0,4.946239273197206e-13,4807751039268606080,0.7205318333102165,0.17796429346561435,1eRASS J054006.9-405004,0.10735519915168155,0.0368,5.71514e-12,940.0,292.1255521302296
